id_igre,imena,rating,rezultat,st_potez,leto,poteze
16104618,Vidit Santosh Gujrathi vs. Magnus Carlsen,"(2636) , (2881)",&frac12;-&frac12;,58,2021,1. d4 f5 2. g3 Nf6 3. Bg2 g6
16032421,Levon Aronian vs. Magnus Carlsen,"(2781) , (2847)",&frac12;-&frac12;,39,2021,1. d4 Nf6 2. Nf3 d5 3. Bf4 Bf5
16114852,Alireza Firouzja vs. Magnus Carlsen,"(2754) , (2855)",&frac12;-&frac12;,39,2021,1. e4 c5 2. Nf3 Nc6 3. Bb5 e6
16067234,Ding Liren vs. Magnus Carlsen,"(2836) , (2881)",&frac12;-&frac12;,15,2021,1. d4 Nf6 2. c4 e6 3. g3 d5
16066722,Saleh Salem vs. Magnus Carlsen,"(2718) , (2881)",0-1,31,2021,1. d4 d5 2. c4 c6 3. Nc3 Nf6
16052736,Wesley So vs. Magnus Carlsen,"(2816) , (2886)",0-1,36,2021,1. e4 c5 2. Nf3 d6 3. Bb5+ Nd7
16111616,Vladislav Artemiev vs. Magnus Carlsen,"(2757) , (2881)",1-0,38,2021,1. Nf3 c5 2. c4 Nf6 3. g3 Nc6
16025191,Magnus Carlsen vs. Shakhriyar Mamedyarov,"(2847) , (2770)",1-0,27,2021,1. e4 c5 2. Nf3 e6 3. d4 cxd4
16044082,Magnus Carlsen vs. Ian Nepomniachtchi,"(2847) , (2792)",&frac12;-&frac12;,47,2021,1. e4 c5 2. Nc3 e6 3. Nf3 Nc6
16045620,Magnus Carlsen vs. Hikaru Nakamura,"(2881) , (2829)",&frac12;-&frac12;,51,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
15792479,Magnus Carlsen vs. Samuel Shankland,"(2862) , (2691)",1-0,33,2021,1. c4 c6 2. Qa4 Nf6 3. Nf3 g6
16026975,Magnus Carlsen vs. Ian Nepomniachtchi,"(2847) , (2789)",1-0,33,2021,1. e4 c5 2. Nf3 d6 3. d4 cxd4
16109658,Magnus Carlsen vs. Levon Aronian,"(2881) , (2761)",&frac12;-&frac12;,54,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
15790927,Magnus Carlsen vs. Alireza Firouzja,"(2862) , (2749)",1-0,40,2021,1. d4 Nf6 2. c4 e6 3. Nf3 d5
15792969,Magnus Carlsen vs. Wesley So,"(2862) , (2770)",&frac12;-&frac12;,29,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
15792965,Magnus Carlsen vs. Wesley So,"(2862) , (2770)",&frac12;-&frac12;,53,2021,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
16069444,Magnus Carlsen vs. Levon Aronian,"(2881) , (2778)",&frac12;-&frac12;,127,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16026893,Magnus Carlsen vs. Ian Nepomniachtchi,"(2847) , (2789)",0-1,45,2021,1. d4 Nf6 2. c4 e6 3. Nf3 d5
16027203,Magnus Carlsen vs. Wesley So,"(2847) , (2770)",1-0,23,2021,1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6
16046910,Magnus Carlsen vs. Hikaru Nakamura,"(2881) , (2829)",1-0,37,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
15792445,Magnus Carlsen vs. Levon Aronian,"(2862) , (2781)",1-0,47,2021,1. d4 Nf6 2. c4 e6 3. Nf3 d5
16046652,Magnus Carlsen vs. Hikaru Nakamura,"(2886) , (2900)",1-0,23,2021,1. d4 Nf6 2. c4 e6 3. Nf3 d5
16084026,Magnus Carlsen vs. Andrey Esipenko,"(2886) , (2595)",1-0,62,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
15792953,Magnus Carlsen vs. Maxime Vachier-Lagrave,"(2862) , (2784)",1-0,40,2021,1. d4 Nf6 2. c4 g6 3. Nc3 d5
16067384,Magnus Carlsen vs. Baskaran Adhiban,"(2881) , (2624)",&frac12;-&frac12;,48,2021,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7
16032867,Magnus Carlsen vs. Hikaru Nakamura,"(2847) , (2736)",&frac12;-&frac12;,65,2021,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
15792743,Magnus Carlsen vs. Daniil Dubov,"(2862) , (2710)",1-0,42,2021,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6
15792949,Magnus Carlsen vs. Maxime Vachier-Lagrave,"(2862) , (2784)",0-1,24,2021,1. d4 Nf6 2. c4 g6 3. Nc3 d5
16069516,Magnus Carlsen vs. Levon Aronian,"(2886) , (2739)",0-1,39,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
16088986,Magnus Carlsen vs. Jan-Krzysztof Duda,"(2847) , (2738)",0-1,74,2021,1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7
16069010,Magnus Carlsen vs. Ding Liren,"(2881) , (2836)",1-0,32,2021,1. c4 Nf6 2. Nc3 e5 3. e3 Nc6
16032143,Magnus Carlsen vs. Hikaru Nakamura,"(2847) , (2736)",&frac12;-&frac12;,57,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
16027023,Magnus Carlsen vs. Ian Nepomniachtchi,"(2847) , (2789)",1-0,33,2021,1. e4 c5 2. Nf3 d6 3. d4 cxd4
16070542,Magnus Carlsen vs. Ding Liren,"(2886) , (2788)",1-0,38,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16045708,Magnus Carlsen vs. Alexander Grischuk,"(2847) , (2776)",1-0,25,2021,1. b3 e5 2. Bb2 Nc6 3. c4 Nf6
16032193,Magnus Carlsen vs. Jan-Krzysztof Duda,"(2847) , (2729)",1-0,60,2021,1. e4 c5 2. Nf3 d6 3. d4 cxd4
16068538,Magnus Carlsen vs. Wesley So,"(2881) , (2741)",&frac12;-&frac12;,29,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
16111782,Magnus Carlsen vs. Vladislav Artemiev,"(2842) , (2755)",1-0,49,2021,1. e4 c5 2. Nf3 d6 3. d4 cxd4
16031673,Magnus Carlsen vs. Teimour Radjabov,"(2847) , (2765)",&frac12;-&frac12;,29,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
16046514,Magnus Carlsen vs. Hikaru Nakamura,"(2881) , (2829)",0-1,57,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
16048816,Magnus Carlsen vs. Teimour Radjabov,"(2881) , (2758)",1-0,52,2021,1. e4 c5 2. Nf3 Nc6 3. Nc3 e5
16105648,Magnus Carlsen vs. Anish Giri,"(2881) , (2744)",&frac12;-&frac12;,62,2021,1. e4 c5 2. Nc3 Nc6 3. Nf3 g6
16111530,Magnus Carlsen vs. Vladislav Artemiev,"(2881) , (2757)",1-0,29,2021,1. d4 d5 2. c4 e6 3. Nc3 c5
16079016,Magnus Carlsen vs. Aryan Tari,"(2847) , (2639)",1-0,40,2021,1. c4 e6 2. g3 d5 3. Bg2 dxc4
16078760,Magnus Carlsen vs. Sasa Martinovic,"(2847) , (2548)",1-0,77,2021,1. e4 c5 2. Nf3 d6 3. d4 cxd4
16031611,Magnus Carlsen vs. Wesley So,"(2847) , (2770)",&frac12;-&frac12;,31,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
16068982,Magnus Carlsen vs. Ding Liren,"(2881) , (2836)",&frac12;-&frac12;,39,2021,1. e4 c6 2. d4 d5 3. exd5 cxd5
16046278,Magnus Carlsen vs. Anish Giri,"(2847) , (2780)",&frac12;-&frac12;,53,2021,1. b4 e5 2. Bb2 Bxb4 3. Bxe5 Nf6
